BCS,Age,Sex,Length,Girth,Height,Weight
1.5,5-10,female,92,113,97,131
2.5,10-15,stallion,96,116,103,157
2.0,>20,stallion,93,115,103,141
2.5,5-10,stallion,96,115,98,143
3.0,10-15,female,106,121,104,178
3.0,2-5,stallion,94,114,102,151
2.0,15-20,stallion,102,106,97,136
4.0,10-15,female,104,118,100,175
3.0,5-10,female,97,116,102,167
3.5,10-15,female,109,128,108,214
2.5,15-20,stallion,89,110,94,134
3.0,2-5,stallion,100,120,98,147
3.0,2-5,female,92,116,103,153
3.5,10-15,gelding,99,122,102,178
3.5,>20,gelding,101,121,104,178
3.0,5-10,female,91,111,99,143
3.5,10-15,stallion,99,117,100,160
2.5,2-5,stallion,84,114,98,130
2.5,<2,female,87,112,98,127
3.5,10-15,female,99,125,103,180
3.0,5-10,female,101,115,101,148
2.5,5-10,stallion,100,123,105,183
2.5,10-15,gelding,111,132,111,204
2.0,>20,gelding,94,116,106,160
3.0,10-15,stallion,90,118,103,154
3.0,5-10,gelding,96,118,101,152
3.0,10-15,stallion,91,118,102,146
3.0,10-15,female,98,127,101,181
3.0,2-5,female,98,113,99,130
2.0,2-5,stallion,79,108,97,106
2.5,5-10,stallion,94,108,96,131
3.0,<2,stallion,85,106,98,117
3.0,10-15,stallion,97,118,107,167
3.0,10-15,female,96,120,102,166
2.5,>20,stallion,95,111,100,134
3.0,2-5,stallion,85,114,98,140
3.0,10-15,gelding,98,113,95,144
3.0,2-5,female,98,109,97,126
3.5,10-15,gelding,103,128,106,194
2.5,2-5,stallion,90,113,105,142
3.0,>20,gelding,95,120,103,153
3.0,10-15,female,93,125,107,167
3.0,10-15,stallion,105,119,102,157
3.0,10-15,stallion,99,114,103,162
3.0,10-15,female,107,123,102,177
3.0,2-5,stallion,100,125,110,183
2.5,10-15,female,90,116,99,141
3.0,5-10,stallion,99,116,101,145
3.0,2-5,stallion,96,116,103,154
3.0,10-15,female,108,115,100,150
3.0,10-15,stallion,102,119,104,168
3.0,5-10,stallion,97,123,102,183
3.5,10-15,stallion,92,115,99,148
3.5,10-15,gelding,99,125,104,175
3.0,10-15,stallion,107,115,103,173
3.0,10-15,gelding,99,123,106,171
3.0,>20,female,101,117,105,162
3.0,10-15,gelding,101,125,107,183
3.5,5-10,gelding,106,124,106,184
2.5,>20,gelding,90,114,104,136
3.5,15-20,gelding,101,122,101,172
3.0,2-5,stallion,90,107,98,138
3.0,10-15,female,95,116,99,160
3.0,10-15,stallion,91,114,99,133
3.0,10-15,female,91,121,100,162
3.0,5-10,stallion,90,115,99,129
3.0,10-15,female,97,123,101,172
3.0,5-10,gelding,98,128,104,177
2.5,2-5,female,90,112,104,133
3.5,2-5,stallion,100,124,102,189
3.0,10-15,female,103,120,102,165
3.5,5-10,stallion,102,118,103,167
2.5,<2,stallion,92,100,98,117
3.0,10-15,stallion,92,117,102,152
3.0,<2,female,78,105,96,108
3.0,15-20,stallion,101,121,104,168
3.0,10-15,stallion,98,115,101,145
2.5,15-20,gelding,103,116,107,155
3.0,10-15,stallion,100,115,103,156
2.5,<2,female,81,109,96,107
3.0,10-15,stallion,99,110,96,142
2.5,10-15,stallion,99,116,105,168
3.0,<2,stallion,95,115,99,124
2.5,2-5,female,88,108,97,119
3.0,10-15,female,105,122,105,188
3.0,2-5,stallion,94,116,103,146
3.0,10-15,female,90,120,104,162
2.0,<2,stallion,77,95,89,86
3.0,15-20,female,94,122,107,173
3.0,2-5,stallion,101,116,99,159
3.0,15-20,female,97,116,99,159
3.0,15-20,gelding,98,120,101,171
3.0,2-5,stallion,86,114,105,145
3.0,10-15,female,103,115,103,181
1.5,<2,stallion,74,93,95,74
3.5,10-15,stallion,100,121,103,171
3.0,10-15,female,96,124,106,161
2.5,>20,female,101,118,104,143
3.0,10-15,female,102,122,101,165
2.5,10-15,stallion,97,125,104,179
3.0,>20,female,103,126,101,180
3.0,5-10,female,90,113,104,141
3.5,10-15,female,103,120,98,178
3.0,10-15,gelding,85,113,98,140
3.5,10-15,female,108,121,101,183
3.0,>20,gelding,101,117,100,147
2.5,10-15,gelding,93,115,106,152
2.0,2-5,stallion,76,98,98,92
3.5,10-15,stallion,105,128,105,195
3.0,10-15,stallion,102,120,104,179
3.5,10-15,stallion,98,116,99,152
3.5,2-5,female,107,120,100,165
3.0,5-10,female,91,116,102,157
2.5,10-15,stallion,97,119,109,172
4.0,>20,gelding,103,128,108,213
2.5,>20,female,99,119,101,156
4.0,10-15,female,104,127,102,191
3.0,2-5,female,97,113,103,130
2.0,15-20,female,93,117,98,136
2.5,>20,female,96,112,103,137
3.5,10-15,female,102,121,97,179
3.0,10-15,stallion,98,120,102,163
3.0,5-10,stallion,101,123,105,177
2.5,2-5,female,92,113,97,140
3.0,10-15,female,102,120,103,170
2.5,2-5,stallion,90,118,99,148
3.0,15-20,female,109,118,105,180
1.0,>20,female,97,109,102,115
3.0,10-15,stallion,94,120,107,161
2.5,10-15,female,91,114,97,128
3.0,2-5,stallion,96,112,100,149
3.0,15-20,female,107,118,106,171
2.5,10-15,stallion,95,115,99,142
3.0,10-15,gelding,95,119,102,158
2.5,10-15,female,100,117,100,139
3.0,5-10,gelding,100,115,101,145
2.5,2-5,female,95,116,102,152
2.5,10-15,female,103,119,107,166
3.0,>20,female,97,118,99,161
3.0,15-20,gelding,100,125,106,175
3.5,10-15,gelding,92,124,107,172
2.5,10-15,stallion,96,109,98,133
2.0,5-10,stallion,93,106,102,120
3.0,5-10,female,101,120,102,179
3.0,5-10,stallion,90,118,99,144
2.0,10-15,female,88,110,101,116
3.0,10-15,gelding,95,118,101,163
3.5,10-15,stallion,99,124,103,178
3.0,5-10,stallion,93,116,100,142
3.0,>20,stallion,90,123,104,163
3.0,10-15,stallion,93,122,103,170
2.5,<2,female,87,100,98,96
2.5,2-5,female,78,107,90,96
2.5,5-10,female,104,113,105,143
3.0,10-15,female,104,122,101,163
3.0,10-15,stallion,99,116,105,136
3.5,>20,stallion,99,119,105,177
3.0,<2,stallion,78,90,90,77
2.5,<2,female,89,103,100,107
3.0,<2,female,95,115,106,150
3.0,10-15,stallion,97,116,104,162
4.0,10-15,gelding,106,121,106,185
3.0,10-15,female,98,119,97,165
3.5,5-10,female,98,115,103,167
3.0,<2,female,86,105,92,100
3.0,10-15,stallion,102,126,110,183
2.5,10-15,female,92,112,97,140
3.5,15-20,female,101,120,100,173
3.0,10-15,female,98,124,98,178
3.0,10-15,stallion,105,122,109,189
3.5,10-15,female,105,125,105,192
3.0,10-15,stallion,102,115,99,149
3.0,10-15,female,102,120,99,162
3.0,15-20,gelding,100,122,102,175
3.0,10-15,female,104,112,100,174
2.5,2-5,stallion,92,110,99,122
3.0,<2,female,85,96,93,94
3.5,5-10,female,101,122,101,166
3.0,<2,female,87,109,96,116
3.0,2-5,stallion,92,111,96,142
3.5,15-20,female,104,112,105,185
2.5,2-5,female,88,111,102,130
3.0,5-10,gelding,93,117,101,151
3.0,10-15,female,95,121,101,157
3.0,10-15,female,91,127,101,161
3.0,2-5,stallion,98,115,101,155
3.0,10-15,stallion,91,116,105,158
2.5,2-5,female,94,100,97,126
3.0,>20,gelding,100,117,103,165
3.0,10-15,gelding,100,116,105,154
3.0,2-5,female,95,112,102,144
2.0,10-15,stallion,97,112,100,138
4.0,10-15,gelding,108,134,116,230
2.5,<2,female,82,102,96,98
3.0,10-15,gelding,98,120,103,158
2.5,2-5,stallion,97,113,102,142
3.0,15-20,female,97,117,99,163
2.5,10-15,female,106,125,103,165
2.5,5-10,female,95,114,100,144
3.0,2-5,female,92,107,94,122
2.5,2-5,stallion,100,112,107,149
3.0,10-15,stallion,99,121,103,168
3.0,10-15,gelding,94,111,99,150
3.0,>20,gelding,98,117,106,160
2.5,10-15,stallion,92,115,98,145
3.0,10-15,female,93,122,102,156
2.5,<2,stallion,72,97,94,89
2.5,5-10,female,108,117,98,157
2.5,10-15,stallion,89,114,102,141
2.5,<2,stallion,84,95,96,90
2.5,5-10,female,98,120,108,161
3.0,2-5,female,98,123,105,160
2.5,<2,stallion,91,97,94,100
3.0,10-15,gelding,84,119,98,148
3.5,2-5,stallion,95,115,101,149
3.5,2-5,stallion,96,115,104,160
3.0,10-15,female,98,112,99,152
3.0,10-15,female,101,117,103,180
3.0,2-5,stallion,91,117,103,145
2.0,10-15,gelding,93,115,100,154
4.0,10-15,stallion,97,123,102,190
3.0,10-15,stallion,94,114,101,145
3.0,10-15,gelding,97,115,100,158
3.0,10-15,female,104,117,103,165
3.0,2-5,female,95,110,97,130
2.5,<2,female,83,104,94,102
2.5,10-15,stallion,96,115,101,157
1.5,<2,female,86,102,98,105
3.0,10-15,stallion,93,126,98,161
3.0,10-15,female,96,118,97,135
3.5,10-15,female,96,116,99,158
2.5,10-15,female,98,114,101,136
3.0,5-10,stallion,91,111,100,155
3.0,10-15,female,111,127,106,192
3.0,>20,gelding,92,118,101,158
2.0,2-5,stallion,93,106,97,114
3.0,10-15,female,95,116,101,158
3.0,10-15,female,103,122,100,162
3.5,10-15,female,102,122,102,177
2.5,>20,gelding,95,121,102,164
2.5,5-10,stallion,86,112,98,129
3.0,<2,stallion,46,66,71,27
3.0,<2,stallion,98,110,101,130
2.5,2-5,stallion,82,100,95,110
3.0,10-15,gelding,106,113,103,159
3.0,10-15,female,98,126,101,163
3.0,10-15,stallion,96,120,104,167
3.0,5-10,stallion,104,124,110,189
3.0,2-5,stallion,94,117,101,143
3.0,10-15,female,100,117,97,164
3.0,10-15,stallion,95,118,107,155
3.0,10-15,female,99,121,104,169
3.0,15-20,gelding,107,123,105,187
3.0,10-15,stallion,97,120,103,162
3.5,5-10,stallion,99,114,99,150
3.0,5-10,female,94,109,98,141
3.0,10-15,gelding,98,120,106,165
3.0,10-15,stallion,101,116,100,165
2.5,>20,female,91,113,99,150
3.0,15-20,stallion,99,126,108,193
2.5,2-5,stallion,86,109,89,125
3.5,2-5,gelding,100,113,105,154
3.0,2-5,female,106,118,105,159
3.0,5-10,female,97,121,102,177
3.0,2-5,stallion,94,113,98,146
3.0,10-15,gelding,94,112,100,151
3.0,15-20,gelding,96,122,102,170
2.5,2-5,female,86,112,102,130
3.0,2-5,female,91,116,104,138
3.0,15-20,stallion,97,118,103,143
3.0,5-10,stallion,99,119,104,168
3.0,10-15,gelding,99,116,103,154
2.5,>20,gelding,95,113,97,139
3.0,<2,female,88,104,97,118
3.0,10-15,female,100,119,102,168
3.0,5-10,stallion,93,116,98,149
2.5,10-15,female,101,120,102,155
3.5,10-15,female,99,120,103,181
3.0,15-20,female,98,121,103,178
2.5,10-15,stallion,103,118,103,174
4.5,10-15,female,107,130,106,227
3.0,10-15,gelding,90,119,101,172
3.5,10-15,female,98,120,101,177
3.0,10-15,stallion,95,122,105,170
2.0,<2,stallion,74,90,89,71
2.5,2-5,female,99,111,101,139
2.5,10-15,stallion,101,120,106,146
3.0,2-5,stallion,102,111,99,145
2.5,10-15,stallion,97,119,99,149
3.0,2-5,stallion,87,111,98,126
2.5,5-10,female,93,111,94,127
3.0,10-15,gelding,92,120,106,156
3.0,10-15,gelding,97,116,103,154
3.0,10-15,stallion,101,119,101,164
3.0,10-15,gelding,102,123,103,188
2.0,2-5,female,99,108,100,122
3.0,10-15,female,94,113,103,146
3.5,10-15,female,97,122,103,188
3.0,15-20,stallion,101,121,102,183
3.0,2-5,female,99,118,102,151
3.0,10-15,female,96,116,97,170
4.0,10-15,female,96,130,105,184
2.5,<2,stallion,85,106,99,107
2.0,15-20,female,100,123,103,158
